AUTHORITARIANISM,SOCIALDOM,CRTScore3,CONSPIRACY,PARANOIA,CLOC,POLOC,ILOC,TRUSTState,ALT,Uk$Agreeableness,Uk$Conscientiousness,Uk$Neuroticism,Uk$Openness,Uk$Extraversion,Uk$MIGRANT1,Uk$MIGRANT2,Uk$COVID_Infected_Self_Binary,Uk$COVID_Infected_Rel_Binary,Uk$VAX,Uk$Sex,Uk$Employ_Binary,Uk$Education_Binary,Uk$TRUST6,Uk$TRUST7
30,26,0,49,19,8,8,14,7,22,8,8,9,6,4,3,4,0,0,1,0,1,1,1,2
45,24,0,27,10,9,13,14,6,27,4,6,6,6,4,6,3,0,0,1,1,0,1,4,4
33,14,0,47,15,16,11,9,17,24,7,6,5,10,6,7,5,0,0,1,1,1,1,5,5
30,25,0,40,23,11,11,14,10,44,10,10,10,7,5,10,10,0,0,1,0,1,1,3,4
31,14,0,44,17,19,11,11,12,28,6,5,6,7,4,9,7,0,0,0,0,1,1,4,3
34,15,1,33,11,10,12,9,15,29,7,7,3,10,6,9,3,0,0,1,1,1,1,4,4
38,26,0,30,14,17,11,14,5,9,7,6,5,6,5,5,5,0,0,0,0,1,1,1,1
31,19,1,27,10,14,13,10,16,26,7,8,9,7,4,6,2,0,0,0,0,1,1,5,4
47,8,1,48,13,12,12,12,7,40,7,7,9,9,6,10,10,0,1,1,0,1,1,3,3
37,20,0,30,18,16,17,15,10,27,5,7,4,5,4,7,7,0,0,0,1,1,1,3,3
26,18,0,28,6,5,13,11,7,32,7,10,3,6,6,1,1,0,0,0,0,1,1,3,4
30,14,2,44,21,16,14,8,11,40,4,7,7,5,2,9,10,0,0,1,0,1,1,4,4
25,14,0,39,15,11,13,9,16,35,7,5,9,3,5,8,5,0,0,1,0,1,1,4,4
36,24,0,37,16,13,15,11,15,29,6,3,9,8,7,5,5,0,0,1,0,1,1,4,4
41,14,3,34,14,14,14,11,11,38,3,5,6,8,6,9,10,0,0,1,0,1,1,4,4
42,14,3,45,20,11,14,7,13,28,3,5,10,5,3,8,7,0,0,0,0,0,1,4,4
32,18,0,38,20,15,16,12,8,41,7,8,7,5,2,10,10,0,0,1,0,1,1,5,4
32,28,0,33,12,13,9,10,17,26,7,10,5,6,5,4,5,0,0,1,0,1,1,2,4
32,14,2,36,13,15,12,12,12,28,6,8,8,3,3,7,6,0,0,0,0,1,1,4,4
35,26,0,42,16,8,12,11,12,33,7,7,8,6,6,7,5,0,0,1,0,1,1,4,4
24,15,1,52,19,18,10,11,11,21,8,5,10,6,5,10,10,0,0,0,0,0,1,4,5
30,32,0,35,15,12,12,12,15,27,6,6,6,6,6,5,5,0,0,1,1,1,1,3,3
36,17,0,30,17,9,17,9,5,37,7,5,6,6,2,5,5,0,0,0,0,1,1,1,2
44,22,2,36,21,11,19,10,11,42,4,3,7,9,8,8,10,0,0,1,1,1,1,5,4
32,23,0,32,19,15,10,12,12,32,6,9,7,4,4,7,7,0,0,1,0,1,1,3,4
26,21,0,38,21,12,16,13,9,38,7,8,9,8,7,5,4,0,0,0,0,1,1,3,4
34,32,0,31,14,10,11,11,15,25,9,9,5,9,7,7,7,0,0,0,1,1,1,3,3
35,17,0,38,15,11,8,13,10,32,8,4,6,10,6,8,8,0,0,1,1,1,1,2,2
36,18,0,31,19,14,14,15,17,29,6,6,8,6,4,7,8,0,0,0,0,1,1,5,5
32,21,0,35,14,11,13,12,13,27,5,6,5,6,7,6,6,0,0,1,0,1,1,4,4
39,20,1,33,21,18,12,14,8,17,4,8,10,4,4,10,5,0,0,1,0,1,1,3,4
30,30,0,27,20,15,9,8,15,35,5,8,7,8,7,4,7,0,0,1,1,0,1,3,3
27,21,1,42,23,15,14,13,8,10,9,6,9,7,8,5,5,0,0,0,1,1,1,4,5
21,26,0,31,16,15,11,12,6,18,4,4,10,8,6,3,3,0,0,1,0,1,1,2,2
35,25,2,30,16,15,11,12,11,22,7,6,6,7,6,10,10,0,0,1,0,1,1,5,4
25,18,0,33,9,9,12,14,17,42,9,10,4,7,7,4,3,0,0,1,0,1,1,5,5
29,13,0,34,15,13,13,10,11,27,7,6,8,7,4,5,5,0,0,1,0,0,1,4,4
20,30,0,47,22,17,10,11,14,37,6,6,8,8,4,1,1,0,0,1,0,1,1,4,4
25,32,1,35,6,6,15,7,13,23,7,6,7,4,3,6,5,0,0,1,1,0,1,4,5
28,15,2,38,12,9,13,9,16,29,9,7,5,6,4,8,7,0,0,1,0,1,1,4,4
28,30,1,24,13,9,13,14,15,27,8,7,6,6,7,5,5,0,0,0,1,0,1,3,3
40,17,3,27,17,15,16,12,9,23,5,5,6,7,4,6,6,1,0,1,0,1,1,2,3
31,14,2,40,23,21,15,15,5,41,2,10,10,10,8,8,10,0,0,1,1,1,1,5,5
27,30,2,23,16,15,12,12,16,25,5,5,8,7,6,10,5,0,0,1,1,1,1,3,3
34,24,1,25,9,6,14,11,14,36,8,8,7,9,7,8,7,0,0,0,0,1,1,4,3
28,16,0,35,17,11,12,12,16,27,7,6,6,4,6,5,5,0,0,1,0,1,1,4,4
22,26,0,38,20,4,15,11,10,19,6,5,10,6,6,5,5,0,0,1,0,1,1,2,5
42,11,0,37,10,14,10,12,6,32,7,4,7,5,3,10,10,1,1,1,0,1,1,5,5
42,10,1,32,16,15,16,11,13,34,9,7,8,7,8,9,9,0,0,1,0,1,1,4,3
32,16,0,40,17,12,12,12,7,13,6,8,9,6,4,2,3,0,1,1,0,1,1,2,2
30,33,0,47,20,9,13,12,10,35,6,7,6,6,4,3,3,0,0,0,1,1,1,2,2
39,18,1,37,16,14,15,13,12,27,6,5,9,8,6,7,8,0,0,0,0,1,1,4,4
36,10,1,37,12,13,11,14,16,35,5,6,8,8,6,8,10,0,1,1,0,1,1,5,5
37,15,0,46,23,17,11,11,9,27,3,7,9,8,8,5,4,1,0,1,0,0,1,2,2
25,35,0,39,16,17,11,10,16,31,5,6,5,7,5,7,6,0,0,1,1,1,1,2,3
32,15,1,36,5,7,14,9,22,45,9,8,6,8,5,7,7,0,0,0,0,1,1,5,5
30,9,1,42,19,9,9,12,6,19,7,7,9,6,4,8,8,0,0,1,0,1,1,4,4
38,10,0,47,14,12,16,14,11,35,7,5,8,5,3,8,9,0,0,1,0,1,1,4,4
26,18,1,37,14,18,10,10,12,33,8,9,9,8,7,8,8,0,0,1,0,1,1,4,4
38,20,1,41,16,14,13,11,5,34,4,6,6,4,7,7,8,1,0,0,0,1,1,2,2
35,23,0,43,18,14,11,12,19,37,6,6,8,8,7,10,9,0,0,1,0,1,1,5,5
25,28,0,40,18,16,14,10,10,36,6,8,6,6,4,9,9,0,0,1,0,1,1,2,2
31,34,0,28,18,11,14,12,14,40,5,6,5,6,7,9,4,0,0,0,0,0,1,2,4
35,38,3,45,18,13,14,10,11,34,5,6,6,7,4,1,1,0,0,1,1,1,1,4,4
30,32,0,41,11,16,15,10,17,36,9,8,8,9,7,4,5,0,0,0,0,1,1,3,3
39,20,2,20,9,10,16,10,14,28,7,9,7,9,5,8,8,0,0,0,1,0,1,4,5
28,30,0,40,18,14,10,13,10,30,6,7,8,7,4,8,7,1,0,1,1,1,1,1,2
32,28,0,38,18,17,12,10,13,31,4,5,7,7,5,3,2,0,0,1,0,1,1,4,4
36,28,0,12,9,8,12,14,17,22,4,8,7,6,4,6,7,1,0,0,0,1,1,4,4
26,25,0,28,12,10,12,15,12,25,6,7,6,4,6,7,5,0,0,0,1,1,1,4,4
27,13,0,32,17,11,16,10,13,34,8,9,7,5,4,5,4,0,0,1,0,1,1,4,5
40,8,0,32,18,19,10,8,9,36,6,7,5,6,2,10,10,0,0,1,1,1,1,5,5
32,32,1,31,18,15,11,10,15,28,6,6,5,6,4,7,6,0,0,1,0,1,1,3,3
26,34,2,38,20,16,10,11,13,24,5,8,8,7,5,9,9,0,0,0,0,1,1,3,2
39,15,1,43,17,18,10,11,11,33,9,9,6,5,2,9,4,0,0,0,1,1,1,3,4
18,34,0,39,20,13,15,11,12,17,2,8,10,5,2,3,2,0,0,1,1,1,1,4,5
42,10,0,30,5,6,15,10,14,44,10,6,6,7,5,10,10,0,0,1,0,1,1,5,5
31,16,0,41,20,11,13,11,11,18,4,8,8,6,4,8,8,0,0,0,0,0,1,2,3
26,25,1,40,16,5,15,13,11,37,6,8,6,9,9,7,6,0,0,1,1,1,1,4,4
34,32,0,30,15,10,12,13,13,27,6,6,6,6,6,5,6,0,0,0,1,1,1,2,3
32,33,0,47,5,16,9,12,17,39,7,7,6,8,5,8,9,0,0,0,0,0,0,3,4
30,29,1,29,19,14,12,12,25,45,9,10,2,4,3,10,10,0,0,0,0,1,1,5,5
38,21,2,52,10,9,17,12,13,44,9,9,3,7,6,10,10,0,0,1,0,1,1,4,4
26,20,0,38,17,17,9,14,9,39,3,10,8,6,4,1,5,0,0,0,0,0,1,2,5
30,16,1,55,10,15,19,11,13,41,8,8,10,6,6,10,10,0,0,0,0,1,1,4,5
30,8,1,44,15,12,12,12,14,35,6,6,6,6,6,10,10,0,0,0,1,1,1,3,4
37,13,3,31,13,18,9,11,17,33,5,6,10,3,4,5,5,0,0,0,0,1,1,4,4
27,47,2,48,18,6,14,9,8,30,6,9,7,9,9,1,1,0,0,0,0,1,1,1,3
18,35,2,35,23,16,12,8,9,41,5,6,7,6,5,9,10,0,0,1,0,1,1,2,1
42,34,3,43,7,6,14,10,5,19,7,10,2,8,8,5,5,0,0,0,1,1,1,2,2
33,35,3,31,5,10,14,11,6,33,6,7,3,5,3,8,5,0,0,0,1,1,1,3,4
47,12,0,55,23,16,14,12,7,34,6,6,9,10,6,10,10,0,0,1,1,1,1,4,3
33,11,1,35,17,10,17,12,19,23,8,7,6,6,5,7,8,0,0,1,0,1,1,4,5
32,19,2,34,19,11,11,13,15,20,4,6,3,8,6,4,5,0,0,1,1,1,1,4,5
32,34,2,39,13,14,13,11,12,31,6,8,7,7,6,8,7,0,0,0,1,1,1,4,5
18,33,0,41,16,15,9,14,13,28,8,10,5,7,4,8,7,1,0,0,0,1,1,4,4
31,33,0,28,7,14,13,9,15,35,7,8,5,8,8,6,4,0,0,0,0,1,1,5,5
28,32,0,33,12,14,14,12,19,43,9,8,6,8,6,5,5,0,0,1,1,1,1,5,5
39,29,0,55,23,12,11,11,6,20,6,8,9,7,5,10,10,0,0,1,0,0,1,2,2
25,11,0,42,8,7,13,9,22,42,10,7,4,6,4,7,4,0,0,0,0,1,1,5,5
30,11,0,34,14,12,12,11,9,19,9,7,6,5,4,5,4,0,0,0,0,1,1,4,4
35,32,1,39,14,13,13,10,12,34,5,10,3,7,7,7,8,0,0,1,0,1,1,5,5
35,16,3,30,14,11,14,11,11,40,4,10,10,10,6,7,8,0,0,0,0,0,1,4,2
27,24,0,43,14,13,14,11,10,27,4,10,6,4,3,5,6,0,0,0,0,1,1,2,1
35,13,1,45,5,10,11,11,14,37,8,9,5,6,3,9,10,0,0,0,0,0,1,5,5
34,30,3,43,19,20,20,12,8,9,3,6,8,8,5,5,4,1,0,1,0,1,1,4,4
18,20,0,31,5,6,18,15,16,18,6,8,8,5,3,8,8,0,0,1,0,0,1,2,4
27,18,0,32,11,12,17,7,9,29,8,8,7,5,4,8,5,0,0,1,0,0,1,5,5
22,26,1,49,25,19,8,12,12,35,5,9,9,9,7,3,5,0,0,0,0,1,1,4,4
30,32,1,42,15,13,12,12,8,26,6,6,6,6,6,3,2,0,0,1,0,1,1,2,3
30,34,0,29,21,17,11,8,17,37,7,7,8,5,2,6,7,0,1,1,1,1,1,4,4
30,32,0,30,13,12,12,12,15,27,6,6,6,6,6,5,5,0,0,1,0,1,1,3,3
35,25,0,45,14,14,12,11,7,18,6,7,10,7,7,5,8,0,0,1,0,1,1,4,4
30,32,0,30,15,12,12,12,10,36,6,6,6,6,6,9,9,0,0,1,0,1,1,2,2
32,34,2,41,21,19,11,7,22,42,6,6,7,7,3,9,8,0,0,0,0,1,1,4,4
30,32,1,30,15,12,12,12,7,27,6,6,6,6,6,5,3,0,0,1,0,1,1,3,3
29,15,0,38,16,15,14,12,9,34,6,7,9,9,6,8,8,0,0,1,0,1,1,2,3
27,26,1,25,14,10,7,12,16,23,3,3,3,7,7,7,4,1,1,0,0,1,1,4,3
36,17,2,47,8,13,16,15,12,36,6,5,5,8,8,9,10,0,0,1,0,1,1,5,5
47,10,0,49,8,14,10,13,5,36,8,10,5,10,10,8,9,0,0,0,1,1,1,3,2
40,36,2,26,18,18,14,11,15,27,6,4,9,5,4,7,7,0,0,0,0,1,1,3,3
26,13,0,42,13,10,11,13,7,34,7,7,10,7,4,7,5,0,0,1,0,1,1,4,5
21,8,0,41,6,11,12,13,17,40,9,9,6,7,6,2,5,0,0,1,0,0,1,5,5
23,23,0,36,14,8,13,13,11,32,4,7,9,6,6,8,4,0,0,1,0,0,1,4,3
21,9,0,49,8,4,16,10,12,42,7,10,2,6,3,9,10,0,0,1,1,1,1,4,4
45,16,0,39,15,14,13,13,12,20,8,7,7,5,7,9,8,0,0,1,1,1,1,4,4
28,17,3,42,5,5,16,8,12,38,9,9,5,8,6,5,7,0,0,1,0,1,1,4,5
30,23,0,45,16,11,19,12,10,9,6,7,10,4,5,8,5,0,0,0,0,1,1,3,4
31,17,0,30,23,12,12,12,11,27,2,6,10,6,2,5,5,1,0,0,0,1,1,4,4
27,32,2,49,17,14,8,10,12,29,6,9,9,10,7,6,6,0,0,1,0,1,1,3,2
34,28,0,28,16,10,14,8,14,30,6,6,7,6,6,5,5,0,0,0,1,1,1,2,3
29,34,0,32,16,12,13,15,12,24,5,7,7,6,6,4,4,0,0,1,0,1,1,4,4
32,26,2,27,13,14,14,14,17,29,6,9,7,6,4,7,7,0,0,1,1,1,1,4,4
34,20,1,27,12,14,14,12,15,34,6,7,9,6,4,9,7,0,0,0,0,1,1,4,3
34,25,1,32,18,12,12,12,17,34,6,8,8,6,4,7,7,0,0,1,0,1,1,4,4
30,30,0,29,18,12,15,9,20,25,9,8,6,7,7,6,6,0,0,0,0,1,1,4,5
30,32,0,30,15,12,12,12,15,27,6,6,6,6,6,6,7,0,0,0,0,1,1,3,3
34,30,0,54,25,21,8,9,5,22,3,4,10,6,2,5,4,0,0,0,0,1,1,1,1
17,25,1,32,7,9,15,6,8,26,9,10,5,9,6,1,1,0,0,1,0,0,1,5,5
24,30,3,23,9,6,18,10,14,20,7,10,3,4,3,8,8,0,0,1,1,1,1,5,5
18,21,0,35,18,9,15,13,15,32,7,9,7,5,4,5,5,0,0,1,0,0,1,3,3
30,32,1,26,11,12,12,12,7,23,6,6,6,6,6,5,5,0,0,0,0,1,1,1,2
31,29,0,34,14,11,13,12,15,27,6,7,7,7,6,7,8,0,0,1,0,1,1,3,3
30,27,1,47,20,20,8,12,23,39,5,6,6,7,3,9,9,0,0,1,0,0,1,5,4
29,16,0,51,15,12,12,12,13,32,6,6,6,6,6,8,7,0,0,1,0,1,1,4,4
35,26,1,21,12,12,14,10,13,29,5,6,9,8,5,6,6,0,0,1,0,0,1,5,4
26,29,0,40,19,13,12,12,13,36,7,8,8,9,7,4,5,0,0,0,0,1,1,4,4
31,18,2,45,12,11,13,13,18,34,6,6,9,8,6,4,4,0,0,1,0,1,1,5,4
34,30,1,55,17,10,14,11,9,34,9,9,9,7,5,5,5,0,0,0,0,1,1,5,5
36,37,0,30,13,12,10,15,15,27,6,5,5,5,4,7,7,0,0,1,0,1,1,3,3
32,36,0,50,22,19,7,9,13,38,5,6,8,5,5,9,8,0,0,1,1,1,1,4,3
30,18,0,27,12,9,13,11,10,22,8,9,4,6,6,3,2,0,0,0,1,1,1,4,2
42,11,0,21,15,12,12,12,13,29,6,10,10,8,7,5,1,0,0,1,0,1,1,3,3
42,9,1,44,17,13,11,12,7,17,4,6,6,6,5,6,6,0,0,0,0,1,1,3,3
29,30,0,23,20,12,10,11,12,37,7,5,5,9,7,7,9,0,0,0,0,1,1,1,3
30,32,0,30,15,12,12,12,15,34,7,8,5,6,6,5,5,0,0,0,0,1,1,3,3
30,32,0,40,25,21,9,9,25,45,6,6,6,6,2,10,10,0,0,1,1,1,1,5,5
31,15,0,28,17,13,13,11,9,26,5,5,8,5,3,7,8,0,0,1,0,1,1,4,4
31,31,0,37,19,17,8,8,20,38,5,6,6,7,5,8,9,0,0,1,1,1,1,4,3
41,15,3,29,6,6,15,10,10,35,8,9,3,7,8,9,8,0,0,1,1,1,1,4,4
46,18,3,26,11,16,14,13,14,34,5,9,3,10,7,8,9,0,0,0,3,0,1,4,4
26,38,2,33,18,12,12,11,10,19,7,6,7,7,6,4,4,0,0,0,1,1,1,2,2
27,35,0,34,19,13,11,11,20,23,6,5,5,5,5,7,7,0,0,1,0,1,1,4,5
39,22,1,32,14,9,15,10,20,29,6,8,3,5,4,7,5,0,0,1,0,1,1,5,5
25,24,0,48,6,9,15,9,16,40,8,6,4,6,6,8,9,0,0,0,1,0,1,4,5
27,13,0,38,8,11,13,13,16,27,8,8,3,7,7,6,6,0,0,1,1,1,1,4,5
19,18,0,43,11,17,12,11,16,35,9,8,8,8,7,5,5,0,0,1,0,1,1,5,5
30,32,2,46,15,12,12,12,7,25,6,6,4,7,4,5,5,0,0,1,1,1,1,3,2
32,22,0,40,17,15,10,12,14,43,6,6,7,7,5,6,7,0,0,0,0,1,1,3,4
29,43,2,26,17,9,7,12,14,21,5,6,3,2,2,8,8,0,0,1,1,1,1,4,4
19,32,0,17,12,7,16,14,10,17,4,8,8,6,2,4,2,0,0,1,0,1,1,4,4
28,32,0,34,18,12,12,12,9,27,6,10,6,7,7,5,5,0,0,0,0,1,1,3,3
32,32,0,55,20,20,10,9,22,45,8,5,8,5,2,10,10,0,0,1,1,1,1,5,2
25,20,1,40,16,13,13,12,15,17,6,6,9,7,5,7,5,0,0,1,0,1,1,5,5
22,25,1,43,20,13,11,15,17,32,5,10,8,7,5,6,6,0,0,1,0,1,1,5,5
38,13,0,44,11,11,11,10,14,43,9,9,5,7,4,8,8,0,0,1,0,1,1,5,5
34,25,2,33,17,16,13,8,10,26,3,7,3,7,4,6,7,0,0,1,1,1,1,1,3
30,32,0,40,22,16,10,10,16,34,6,6,6,6,4,10,9,0,0,0,1,1,1,3,3
44,9,3,35,13,9,15,11,16,44,7,6,8,9,6,10,10,0,0,1,0,1,1,4,4
26,32,0,29,9,11,12,9,15,34,8,5,5,8,6,7,3,0,0,0,1,1,1,3,5
48,14,3,46,14,3,15,11,5,30,7,5,7,6,9,1,1,0,0,1,1,1,1,4,4
33,11,0,46,22,18,10,15,15,16,5,6,10,7,3,6,6,0,0,1,1,1,1,5,5
27,25,0,37,5,12,12,12,20,22,8,6,8,4,5,5,5,0,0,1,0,1,1,4,5
29,22,0,35,17,11,11,13,9,36,4,6,7,6,6,4,7,0,0,1,0,1,1,4,4
22,21,0,33,16,13,12,10,16,41,8,8,5,6,4,5,5,0,0,1,0,1,1,4,4
39,9,1,30,10,11,13,11,11,28,6,8,6,8,8,8,8,0,0,0,0,1,1,3,4
28,36,1,28,22,16,8,12,20,39,5,8,7,7,5,6,5,1,0,1,0,1,1,3,4
32,34,2,30,22,19,9,11,15,27,2,10,7,9,6,5,6,1,0,1,1,1,1,3,3
30,34,2,40,16,11,14,12,19,29,6,7,6,7,6,7,7,0,0,1,0,1,1,4,4
19,33,0,55,15,14,10,12,12,36,8,8,10,5,4,7,7,0,1,0,0,1,1,5,5
30,30,1,36,16,18,10,11,5,27,6,7,6,6,4,6,6,0,0,0,0,1,1,1,1
25,14,1,42,8,13,17,9,13,43,8,7,9,7,5,7,7,0,0,0,0,1,1,5,5
31,29,0,33,14,13,9,11,18,28,6,7,5,4,6,5,5,0,0,0,0,1,1,3,3
31,32,0,30,15,12,12,13,15,27,6,6,6,6,6,6,6,0,0,1,0,1,1,3,4
30,32,0,30,16,12,12,11,5,27,8,8,4,8,8,5,5,0,0,1,0,1,1,1,5
30,32,0,30,15,12,12,12,16,27,6,6,6,6,5,5,5,0,0,1,0,1,1,4,4
33,32,0,26,14,10,11,13,15,29,7,7,5,5,5,2,3,0,0,0,0,1,1,4,5
31,32,0,49,5,15,11,11,9,29,8,6,9,8,6,5,5,0,0,1,0,1,1,4,4
16,24,0,47,24,18,10,10,23,43,6,9,8,8,4,4,4,0,0,1,0,1,1,5,4
32,20,0,43,15,14,9,9,16,31,8,7,4,7,7,6,6,0,0,1,1,1,1,4,4
30,32,0,29,15,12,12,14,5,27,6,6,6,6,6,5,5,0,0,0,0,1,1,1,1
21,16,0,46,18,18,12,13,13,42,10,10,6,6,6,6,1,0,1,0,0,0,1,2,3
25,42,2,38,16,10,9,16,9,15,2,10,8,6,3,5,1,0,0,0,1,1,1,2,2
27,32,0,36,14,12,12,12,17,36,7,7,7,6,6,8,8,0,0,1,0,1,1,4,4
30,32,1,30,15,11,13,11,15,27,6,6,5,4,5,6,6,0,0,0,0,1,1,3,3
24,28,1,43,16,12,14,11,10,17,8,7,6,8,10,7,8,0,0,1,0,1,1,2,3
26,32,0,24,17,10,12,13,13,30,5,5,6,7,6,7,6,0,0,0,0,1,1,3,3
30,28,0,34,13,13,16,9,9,22,6,6,8,5,3,7,7,0,0,0,0,1,1,1,3
34,34,0,38,16,18,9,11,11,31,6,5,5,6,6,8,7,0,1,0,1,1,1,3,4
32,13,1,38,10,8,17,11,13,41,9,6,8,6,4,7,8,0,0,1,0,1,1,4,4
34,39,2,35,14,12,12,10,15,25,5,8,6,6,6,5,4,0,0,1,1,1,1,3,2
32,19,3,34,23,11,15,11,14,22,4,4,7,6,3,7,7,0,0,1,0,1,1,5,5
35,38,0,45,15,11,16,7,13,28,6,6,6,7,8,6,6,0,0,1,0,1,1,4,4
31,22,0,33,18,14,12,11,11,36,6,8,10,7,5,5,5,0,0,1,0,1,1,4,4
25,36,0,31,14,13,12,14,10,14,5,6,7,7,6,1,1,0,0,1,0,0,1,2,2
25,18,1,30,17,13,13,10,14,21,6,6,9,7,5,5,5,0,0,0,0,1,1,4,4
30,30,0,38,18,19,8,9,14,32,7,9,7,6,2,8,5,0,0,1,0,1,1,2,3
30,32,0,30,15,12,12,12,15,26,6,5,8,7,5,5,5,0,0,0,1,1,1,3,3
38,11,3,34,8,12,14,11,11,31,7,5,3,10,10,7,10,0,0,1,1,1,1,4,4
18,17,2,24,11,13,13,9,16,27,6,6,7,6,4,8,3,0,0,0,1,1,1,3,5
30,32,0,30,15,12,12,12,15,27,6,6,6,6,6,6,5,0,0,0,0,0,1,3,3
33,14,0,40,10,14,14,12,12,39,8,9,10,10,7,3,3,0,0,1,0,1,1,4,4
29,15,0,37,10,8,14,10,18,42,8,8,8,7,4,4,4,0,0,1,0,1,1,5,5
30,29,0,33,11,11,13,11,7,31,6,7,8,3,3,8,8,0,0,0,0,1,1,3,4
30,34,1,43,17,10,12,12,14,32,5,7,6,5,6,7,7,0,0,1,1,1,1,4,2
30,40,1,30,13,12,15,10,18,28,5,7,6,6,5,8,6,0,0,0,0,1,1,2,2
30,33,0,49,25,12,12,12,9,44,7,6,7,6,5,10,9,0,0,1,1,1,1,2,1
30,32,0,35,15,12,16,7,15,35,8,8,7,7,6,6,6,0,0,0,0,1,1,3,3
33,30,0,30,8,9,14,12,13,27,8,6,6,9,9,10,10,0,0,1,0,1,1,4,4
31,11,0,33,5,7,17,12,20,39,9,9,3,5,4,9,10,0,0,1,0,1,1,5,5
21,22,0,21,19,14,11,11,17,36,6,6,6,6,3,6,4,0,0,0,1,1,1,5,5
35,17,0,32,7,14,15,11,18,45,9,9,6,4,4,5,5,0,0,0,0,0,1,4,5
30,34,0,25,12,10,10,12,18,25,8,5,8,6,5,3,4,0,0,1,0,1,1,3,3
30,33,0,30,22,20,9,10,8,41,6,6,6,6,2,8,9,0,0,0,0,1,1,1,2
31,32,0,49,18,19,11,10,15,38,7,5,6,7,4,10,10,0,0,1,1,1,1,3,4
29,27,0,40,13,13,13,10,11,18,5,6,9,6,4,4,1,0,0,1,1,1,1,2,3
24,26,0,34,16,15,13,10,13,30,7,8,8,7,5,8,5,0,0,1,0,1,1,4,4
29,25,0,33,11,13,12,15,16,36,7,8,7,7,7,7,7,0,0,1,1,1,1,3,4
29,25,0,38,6,13,12,12,11,24,6,9,8,7,5,7,7,0,0,1,0,1,1,3,4
30,30,0,30,15,12,13,12,15,27,5,6,7,6,6,7,6,0,0,0,0,1,1,3,3
34,32,0,27,14,9,11,7,13,29,7,4,7,8,6,5,3,0,0,0,1,1,1,3,3
28,9,0,43,8,7,17,10,12,43,4,8,4,5,4,5,4,0,0,1,0,0,1,4,3
19,44,3,38,20,15,10,12,20,30,6,8,4,7,6,4,2,0,0,1,0,1,1,4,4
33,33,2,34,5,6,12,8,14,21,8,9,2,9,6,7,7,0,0,1,1,1,1,4,4
27,32,0,30,21,12,12,10,15,28,7,8,9,10,10,5,5,0,0,1,0,1,1,3,3
27,29,0,43,12,12,11,12,16,45,6,6,4,8,7,6,6,0,0,1,0,1,1,5,5
31,28,0,31,18,15,12,10,19,30,10,7,9,6,6,4,5,0,0,1,1,1,1,3,4
30,32,0,31,15,12,12,12,15,27,6,6,6,6,6,7,6,0,0,1,0,1,1,3,3
34,31,0,32,13,11,13,10,16,29,9,9,7,6,3,5,7,0,0,1,0,1,1,4,4
36,32,0,43,10,17,11,8,18,30,9,8,6,6,3,7,8,0,0,1,1,1,1,4,4
30,12,0,39,17,16,11,10,11,34,7,6,7,9,6,8,8,0,0,1,0,1,1,2,4
28,32,0,30,15,12,12,12,12,27,6,6,6,6,6,7,6,0,0,1,1,1,1,3,3
34,37,0,55,17,15,12,15,10,29,5,10,10,10,7,4,5,0,0,0,0,1,1,3,3
26,12,0,44,9,18,14,14,15,31,6,6,8,7,7,4,3,0,0,1,0,1,1,4,5
34,34,1,34,22,16,10,11,12,33,7,5,8,6,4,8,7,0,0,1,1,1,1,2,3
28,32,1,39,17,13,11,11,13,31,6,6,6,6,6,7,7,0,0,1,0,1,1,2,2
27,17,0,42,9,12,15,12,8,15,8,10,6,5,4,8,7,1,0,0,0,1,1,4,4
37,17,2,44,9,12,12,12,15,36,6,6,6,6,4,8,8,0,0,1,1,1,1,3,3
30,32,0,30,15,12,12,12,9,24,6,6,6,6,6,5,5,0,0,0,0,1,1,2,3
30,8,0,55,13,15,15,11,9,38,8,8,4,10,7,7,9,0,0,1,0,1,1,4,4
25,28,2,26,15,15,11,12,10,35,7,8,3,7,7,3,1,1,0,0,0,1,1,5,4
26,32,0,35,14,15,14,11,20,31,6,10,5,6,3,3,8,0,0,1,1,1,1,4,4
35,8,1,33,14,10,13,9,7,33,4,5,3,6,2,10,10,0,0,0,0,0,1,4,4
23,25,1,42,19,13,12,13,5,25,5,6,9,8,6,1,2,1,1,1,0,0,1,3,2
39,21,0,32,13,13,13,12,13,34,6,9,7,7,7,10,9,0,0,1,0,1,1,3,4
26,30,0,18,23,14,15,4,17,35,7,8,5,6,4,6,7,0,0,1,0,0,1,3,2
41,38,3,24,10,13,13,14,15,18,6,6,6,10,9,5,7,0,0,1,0,1,1,4,4
32,32,1,50,23,21,9,9,7,21,6,6,8,6,6,5,5,0,0,1,0,0,1,3,4
30,26,1,34,20,17,11,10,10,35,6,5,6,6,4,7,7,0,1,0,0,1,1,2,2
36,15,3,37,16,10,15,13,11,39,6,9,8,7,5,9,9,0,0,0,0,0,1,3,4
23,32,0,35,5,15,16,13,20,30,6,8,4,5,5,6,5,0,0,0,0,0,1,5,5
25,23,0,34,14,13,14,18,13,28,8,5,7,7,7,1,1,0,0,1,0,0,1,4,5
23,34,0,30,20,14,12,10,10,25,5,7,6,6,4,6,6,0,0,1,0,1,1,3,2
32,30,0,33,19,16,11,12,12,34,5,6,5,6,4,8,8,0,0,0,1,1,1,2,2
31,23,2,25,15,10,18,8,8,36,8,8,6,6,6,5,5,0,0,1,0,1,1,3,1
